metric,n,test_used,mean_before,mean_after,mean_diff,effect_size_dz,p_value,p_value_fdr_bh,significant_fdr_0_05
RVPA,9,wilcoxon,0.9569888888888889,0.9257444444444446,-0.031244444444444422,-0.8261382744130769,0.0078125,0.197265625,False
RVPPH,9,wilcoxon,0.8312666666666666,0.7098888888888889,-0.1213777777777778,-0.8208345588937449,0.0078125,0.197265625,False
RVPTH,9,wilcoxon,44.888888888888886,38.333333333333336,-6.555555555555555,-0.8208708066108542,0.0078125,0.197265625,False
RVPTM,9,wilcoxon,9.11111111111111,15.666666666666666,6.555555555555555,0.8208708066108542,0.0078125,0.197265625,False
RTIFRTSD,10,wilcoxon,37.78215,58.21019,20.428040000000003,0.7604353436449124,0.013671875,0.276171875,False
RTIFMMT,10,paired_t_test,247.27952999999997,291.86224000000004,44.58271,0.8823914587576179,0.021041226243164526,0.35419397509326955,False
RTIFMDMT,10,paired_t_test,244.3,286.65,42.35,0.8302853144692709,0.027557068380383208,0.3976091294883863,False
RTIFMRT,10,paired_t_test,341.19953999999996,378.46243,37.26289,0.7925628910458659,0.033513383945112905,0.42310647230705045,False
RTIFMDRT,10,paired_t_test,333.7,367.35,33.65,0.7367038356740488,0.04477189344496788,0.49618437203108046,False
RTIFMTSD,10,paired_t_test,33.54375,48.39172000000001,14.84797,0.6939380425087277,0.05584595634138728,0.49618437203108046,False
DMSPC12,10,wilcoxon,94.0,80.0,-14.0,-0.8502651466878619,0.0625,0.49618437203108046,False
DMSTC12,10,wilcoxon,4.7,4.0,-0.7,-0.8502651466878618,0.0625,0.49618437203108046,False
DMSCC,10,paired_t_test,1.04,1.105,0.06499999999999999,0.667863051619473,0.06386531521192125,0.49618437203108046,False
DMSMDL0,10,paired_t_test,2491.6,2187.2,-304.4,-0.5978737329458768,0.09124249591152503,0.5084491798100501,False
PALTE,8,paired_t_test,3.375,6.625,3.25,0.6851601597031488,0.09382115380277015,0.5084491798100501,False
DMSML12,10,paired_t_test,2783.8983300000004,3495.125,711.2266700000002,0.5881452332044387,0.09583193239152869,0.5084491798100501,False
DMSPC,10,paired_t_test,96.0,91.5,-4.5,-0.5642168123635735,0.10805524234601956,0.5084491798100501,False
DMSTC,10,paired_t_test,19.2,18.3,-0.9,-0.5642168123635735,0.10805524234601956,0.5084491798100501,False
DMSTE,10,paired_t_test,0.8,1.7,0.9,0.5642168123635735,0.10805524234601956,0.5084491798100501,False
DMSTCAD,10,paired_t_test,14.2,13.4,-0.8,-0.5421047417431508,0.12062074496836384,0.5084491798100501,False
DMSTEAD,10,paired_t_test,0.8,1.6,0.8,0.5421047417431508,0.12062074496836384,0.5084491798100501,False
DMSTEC,10,wilcoxon,0.1,0.5,0.4,0.7745966692414833,0.125,0.5084491798100501,False
DMSTECAD,10,wilcoxon,0.1,0.5,0.4,0.7745966692414833,0.125,0.5084491798100501,False
DMSPCAD,10,paired_t_test,94.6,89.3,-5.3,-0.5347446263456017,0.12509230851666991,0.5084491798100501,False
DMSL4SD,10,paired_t_test,1205.95319,926.48694,-279.46625000000006,-0.5335153234170538,0.12585375737872528,0.5084491798100501,False
DMSML4,10,paired_t_test,2973.5299999999997,2666.5150000000003,-307.01500000000004,-0.519914369199905,0.13456463465511728,0.5227318500064171,False
PALTA,8,paired_t_test,5.0,5.75,0.75,0.5851421232041205,0.14189160270147938,0.5307796989944228,False
DMSMLS,10,wilcoxon,2450.24,2402.2,-48.039999999999985,-0.04575950513088499,0.16015625,0.5777064732142857,False
DMSMDL12,10,paired_t_test,2718.35,3367.0,648.65,0.4636764580234022,0.1766221981052785,0.6050660061248558,False
RVPPFA,9,paired_t_test,0.002322222222222222,0.003711111111111111,0.001388888888888889,0.48097294033473076,0.1870295466200291,0.6050660061248558,False
DMSML0,10,paired_t_test,2656.4999999999995,2390.9333300000003,-265.56666999999993,-0.44804432771482516,0.19020087894626694,0.6050660061248558,False
DMSPEGE,3,paired_t_test,0.0,0.19443333333333332,0.19443333333333332,1.1209192463495883,0.19170408114846918,0.6050660061248558,False
RVPMDL,9,paired_t_test,381.77777777777777,394.3333333333333,12.555555555555555,0.4491034173832589,0.21479414870901503,0.6455488940084679,False
RVPTFA,9,paired_t_test,1.2222222222222223,1.8888888888888888,0.6666666666666666,0.4444444444444444,0.2191383605228728,0.6455488940084679,False
DMSPEGC,10,paired_t_test,0.047189999999999996,0.08011,0.03292,0.41322538891225236,0.22370506228016213,0.6455488940084679,False
DMSLSSD,10,wilcoxon,710.94444,710.5008300000002,-0.4436100000000124,-0.0004043643362588091,0.275390625,0.7726236979166667,False
RVPML,9,paired_t_test,417.5741888888889,439.24404444444446,21.669855555555557,0.3791303163291075,0.2882916212451441,0.7869582093448529,False
DMSTEP,10,paired_t_test,0.7,1.2,0.5,0.34874291623145787,0.29871898183173057,0.7939636096053891,False
DMSMDLS,10,wilcoxon,2259.3,2241.3,-18.0,-0.030278516291597946,0.322265625,0.8345853365384616,False
PALMETS,9,paired_t_test,0.4444444444444444,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.34659350708733416,0.8660442073170731,False
PALTE8,10,wilcoxon,1.5,4.8,3.3,0.40893034028331937,0.3515625,0.8660442073170731,False
DMSLSD,10,paired_t_test,1001.13844,1229.6183800000001,228.47994,0.3024757838179614,0.36379952925204306,0.8748512489156274,False
DMSTEPAD,10,paired_t_test,0.7,1.1,0.4,0.2963188789948769,0.37319877266032775,0.8763132192595722,False
DMSMDL4,10,paired_t_test,2717.0,2560.4,-156.6,-0.2908080975117383,0.38176021433090274,0.8763132192595722,False
PALFAMS,9,paired_t_test,17.444444444444443,16.88888888888889,-0.5555555555555556,-0.26108681666265243,0.45603383443320566,1.0,False
RTIFESI,10,wilcoxon,0.1,0.3,0.2,0.4743416490252569,0.5,1.0,False
SWMPR,10,wilcoxon,5.2,5.0,-0.2,-0.4743416490252569,0.5,1.0,False
PALTA8,10,paired_t_test,1.7,2.1,0.4,0.2176428750330035,0.5086464915963442,1.0,False
SWMS,10,wilcoxon,3.6,3.7,0.1,0.04580286124143444,0.5625,1.0,False
RVPLSD,9,paired_t_test,132.2453777777778,146.5349,14.289522222222221,0.18764388151311473,0.5889055081567539,1.0,False
MOTSDL,10,paired_t_test,115.66899999999998,102.479,-13.189999999999998,-0.17187621070627743,0.5999735463649598,1.0,False
SWMBE,8,paired_t_test,0.625,1.25,0.625,0.18274831480723838,0.6211581015590995,1.0,False
RTIFTES,10,wilcoxon,0.3,0.5,0.2,0.31622776601683794,0.625,1.0,False
MOTML,10,paired_t_test,727.99,717.61,-10.380000000000019,-0.13168772477024296,0.6868487555158099,1.0,False
DMSLADSD,10,paired_t_test,1074.6641200000001,1169.65752,94.99340000000004,0.13063916568934916,0.6891896224913814,1.0,False
PALTEA8,10,paired_t_test,4.3,4.8,0.5,0.1303116728289208,0.6899214555798483,1.0,False
PALTE6,10,wilcoxon,1.6,0.7,-0.9,-0.2089948554643038,0.75,1.0,False
PALTEA6,10,wilcoxon,1.6,0.7,-0.9,-0.2089948554643038,0.75,1.0,False
SWMS6,10,wilcoxon,1.8,1.9,0.1,0.05396870722208658,0.75,1.0,False
DMSMDL,10,wilcoxon,2440.95,2422.4,-18.55,-0.0443681061501166,0.76953125,1.0,False
DMSMLAD,10,wilcoxon,2795.9013600000003,2809.16277,13.261410000000023,0.021179425142571224,0.76953125,1.0,False
DMSL0SD,10,paired_t_test,797.9811599999999,860.9667299999999,62.98557000000002,0.09182734800054518,0.7781026729899458,1.0,False
SWMTE,8,paired_t_test,0.875,1.25,0.375,0.09734749249995545,0.7910051864396367,1.0,False
DMSMDLAD,10,paired_t_test,2562.85,2526.6,-36.25,-0.07882020896766707,0.8087616450879975,1.0,False
SWMBE8,10,paired_t_test,2.0,1.7,-0.3,-0.07395456385641413,0.8203228697892484,1.0,False
SWMTE8,10,paired_t_test,2.2,1.9,-0.3,-0.06299716519134813,0.8465229045742406,1.0,False
DMSML,10,paired_t_test,2703.16295,2721.55231,18.389360000000078,0.03360745425741492,0.9176944460063864,1.0,False
PALTEA,8,paired_t_test,6.875,6.625,-0.25,-0.03268602252303067,0.9289307328831946,1.0,False
DMSL12SD,10,wilcoxon,1007.45234,1215.67044,208.2181,0.19554656714178972,1.0,1.0,False
DMSPC0,10,wilcoxon,92.0,92.0,0.0,0.0,1.0,1.0,False
DMSPC4,10,wilcoxon,98.0,96.0,-2.0,-0.31622776601683794,1.0,1.0,False
DMSPCS,10,wilcoxon,100.0,98.0,-2.0,-0.31622776601683794,1.0,1.0,False
DMSTC0,10,wilcoxon,4.6,4.6,0.0,0.0,1.0,1.0,False
DMSTC4,10,wilcoxon,4.9,4.8,-0.1,-0.31622776601683794,1.0,1.0,False
DMSTCS,10,wilcoxon,5.0,4.9,-0.1,-0.31622776601683794,1.0,1.0,False
DMSTED,10,constant_no_change,0.0,0.0,0.0,0.0,1.0,1.0,False
DMSTEDAD,10,constant_no_change,0.0,0.0,0.0,0.0,1.0,1.0,False
MOTTC,10,constant_no_change,10.0,10.0,0.0,0.0,1.0,1.0,False
MOTTE,10,constant_no_change,0.0,0.0,0.0,0.0,1.0,1.0,False
PALNPR,9,wilcoxon,8.222222222222221,8.0,-0.2222222222222222,-0.14213381090374028,1.0,1.0,False
PALTA2,10,constant_no_change,1.0,1.0,0.0,0.0,1.0,1.0,False
PALTA4,10,constant_no_change,1.1,1.1,0.0,0.0,1.0,1.0,False
PALTA6,10,wilcoxon,1.3,1.4,0.1,0.11420804814403215,1.0,1.0,False
PALTE2,10,constant_no_change,0.0,0.0,0.0,0.0,1.0,1.0,False
PALTE4,10,constant_no_change,0.1,0.1,0.0,0.0,1.0,1.0,False
PALTEA2,10,constant_no_change,0.0,0.0,0.0,0.0,1.0,1.0,False
PALTEA4,10,constant_no_change,0.1,0.1,0.0,0.0,1.0,1.0,False
RTIFESNR,10,constant_no_change,0.0,0.0,0.0,0.0,1.0,1.0,False
RTIFESPR,10,wilcoxon,0.2,0.1,-0.1,-0.31622776601683794,1.0,1.0,False
SWMBE4,10,constant_no_change,0.0,0.0,0.0,0.0,1.0,1.0,False
SWMBE6,10,wilcoxon,0.3,1.0,0.7,0.27088319221936796,1.0,1.0,False
SWMDE,8,constant_no_change,0.0,0.0,0.0,0.0,1.0,1.0,False
SWMDE4,10,constant_no_change,0.0,0.0,0.0,0.0,1.0,1.0,False
SWMDE6,10,constant_no_change,0.0,0.0,0.0,0.0,1.0,1.0,False
SWMDE8,10,wilcoxon,0.0,0.5,0.5,0.31622776601683794,1.0,1.0,False
SWMTE4,10,constant_no_change,0.0,0.0,0.0,0.0,1.0,1.0,False
SWMTE6,10,wilcoxon,0.3,1.0,0.7,0.27088319221936796,1.0,1.0,False
SWMWE,8,wilcoxon,0.25,0.0,-0.25,-0.35355339059327373,1.0,1.0,False
SWMWE4,10,constant_no_change,0.0,0.0,0.0,0.0,1.0,1.0,False
SWMWE6,10,constant_no_change,0.0,0.0,0.0,0.0,1.0,1.0,False
SWMWE8,10,wilcoxon,0.2,0.7,0.5,0.21107926341908756,1.0,1.0,False
